Category,Question,Response
M-PESA,How do I send money via M-PESA?,"Dial *334#, select ‘Send Money’, enter recipient’s number and amount, then confirm."
M-PESA,How do I reverse a wrong transaction?,Forward the M-PESA message to 456 immediately or call 100 for assistance.
M-PESA,What are the M-PESA transaction charges?,Charges vary based on the amount. Check via *334# or visit the M-PESA tariff page.
Airtime,How do I buy airtime?,"Dial *100# for prepaid or *200# for postpaid, then follow the prompts."
Data,How do I check my data balance?,Dial *544# or use the Safaricom app.
Data,How can I buy an unlimited internet plan?,Visit the Safaricom app or dial *544# for available options.
SIM,How do I replace a lost SIM?,Visit the nearest Safaricom shop with your ID and KES 50 for replacement.
Network,Why is my network slow?,Ensure you’re in a strong coverage area and restart your phone.
Billing,How do I check my postpaid bill?,Dial *200# or use the Safaricom app.
Billing,What happens if I don’t pay my postpaid bill?,Your services may be suspended. Pay via M-PESA Paybill 200200.
Business,How do I register for an M-PESA business till?,Apply online at Safaricom’s business portal or visit a shop.
M-PESA,How do I activate M-PESA on my phone?,"Go to SIM toolkit, select M-PESA, and follow the prompts to activate."
M-PESA,Can I use M-PESA without a Safaricom SIM card?,"No, M-PESA is only available on Safaricom SIM cards."
M-PESA,How do I check my M-PESA balance?,Dial *334# and select 'My Account' > 'Check Balance'.
M-PESA,What is the maximum amount I can send via M-PESA?,"The daily transaction limit is KES 500,000, with a single transaction limit of KES 250,000."
M-PESA,How can I increase my M-PESA transaction limit?,Visit a Safaricom shop with your ID to request a limit increase.
M-PESA,Can I use M-PESA while abroad?,"Yes, using Safaricom’s roaming services or M-PESA Global."
M-PESA,What should I do if I forget my M-PESA PIN?,"Dial *334#, select 'My Account', and follow the reset instructions."
Airtime,How do I share airtime with another Safaricom user?,Dial *140*recipient’s number*amount# and press call.
Airtime,What is the maximum airtime I can buy in a day?,The daily limit for airtime purchase depends on your transaction limit.
Airtime,Can I buy airtime for someone in another country?,"Yes, using M-PESA Global services or through online platforms."
Data,How do I activate data bundles?,Dial *544# and select a bundle of your choice.
Data,Can I transfer data bundles to another number?,"Yes, by using the 'Sambaza Data' option via *544#."
Data,How do I stop auto-renewal of my data plan?,"Dial *544#, select 'Manage Subscriptions', then cancel auto-renewal."
Data,How can I check my data usage history?,Use the Safaricom app or dial *544# and select 'My Usage'.
Data,What is the best data bundle for streaming?,The 'All-in-One' and 'Unlimited Daily' plans offer great options for streaming.
SIM,How do I register a new Safaricom SIM card?,Visit a Safaricom shop with your ID for registration.
SIM,Can I register multiple SIM cards under my name?,Yes, but you must register each with your ID at a Safaricom outlet., but you must register each with your ID at a Safaricom outlet."
